DATE TIME,VOLT_IN,STAGE,CFSNOW,SUMCFS,15MNCFS,24HRCFS,,,24HR_AF,TFM_AF,,PREVMN,PREV15,PREVDAY,TEMP,BATT,EVENTS
7/26/2015 15:15,0,1,,0,0.41,,,,,,,,,,78.8,12.4,
7/26/2015 15:16,,0,,,,,,,,,,,,,,,
7/26/2015 15:15,,0,,,,,,,,,,,,,,,
7/26/2015 15:30,0,0,,0,0,,,,,,,,,,78.3,12.5,
7/26/2015 15:37,,2,,,,,,,,,,,,,,,
7/26/2015 15:30,,2,,,,,,,,,,,,,,,
7/26/2015 15:39,,0,,,,,,,,,,,,,,,
7/26/2015 15:30,,0,,,,,,,,,,,,,,,
7/26/2015 15:41,,1,,,,,,,,,,,,,,,
7/26/2015 15:30,,1,,,,,,,,,,,,,,,
7/26/2015 15:43,,0,,,,,,,,,,,,,,,
7/26/2015 15:30,,0,,,,,,,,,,,,,,,
7/26/2015 15:45,0,0,,0.02,1.59,,,,,,,,,,78.3,12.5,
7/26/2015 15:49,,1,,,,,,,,,,,,,,,
7/26/2015 15:45,,1,,,,,,,,,,,,,,,
7/26/2015 16:00,0,1,,0.04,2.25,,,,,,,,,,76.5,12.5,
7/26/2015 16:15,0,1,,0.07,3.07,,,,,,,,,,76.5,12.5,
7/26/2015 16:30,0,1,,0.1,3.07,,,,,,,,,,77.4,12.5,
7/26/2015 16:45,0,1,,0.16,3.07,,,,,,,,,,77.9,12.5,
7/26/2015 17:00,0,1,,0.17,3.07,,,,,,,,,,79.2,12.5,
7/26/2015 17:02,,0,,,,,,,,,,,,,,,
7/26/2015 17:00,,0,,,,,,,,,,,,,,,
7/26/2015 17:15,0,0,,0.17,0.41,,,,,,,,,,79.7,12.5,
7/26/2015 17:30,0,0,,0.17,0,,,,,,,,,,79.2,12.5,
7/26/2015 17:45,0,0,,0.17,0,,,,,,,,,,78.8,12.5,
7/26/2015 18:00,0,0,,0.17,0,,,,,,,,,,78.8,12.5,
7/26/2015 18:15,0,0,,0,0,,,,,,,,,,80.1,12.4,
7/26/2015 18:30,0,0,,0,0,,,,,,,,,,81,12.5,
7/26/2015 18:45,0,0,,0,0,,,,,,,,,,80.1,12.5,
7/26/2015 18:47,,1,,,,,,,,,,,,,,,
7/26/2015 23:30,0,1,,0.55,3.07,,,,,,,,,,70.7,12.5,
7/26/2015 23:45,0,1,,0.59,3.07,,,,,,,,,,70.7,12.5,
7/26/2015 23:59,,,,,,0.62,,,1.22,,,,,0.62,,,Battery:12.5
7/27/2015 0:00,0,1,3.07,0.62,3.07,,,,,1.23,,0.62,0.62,,70.2,12.5,
7/27/2015 0:15,0,1,,0.65,3.07,,,,,,,,,,70.2,12.5,
7/27/2015 0:30,0,1,,0.68,3.07,,,,,,,,,,70.2,12.5,
7/27/2015 0:45,0,1,,0.71,3.07,,,,,,,,,,69.8,12.5,
7/27/2015 1:00,0,1,,0.75,3.07,,,,,,,,,,68.9,12.5,
7/27/2015 1:15,0,1,,0.78,3.07,,,,,,,,,,68,12.5,
7/27/2015 1:30,0,1,,0.81,3.07,,,,,,,,,,68,12.5,
7/27/2015 1:45,0,1,,0.84,3.07,,,,,,,,,,68,12.5,
7/27/2015 2:00,0,1,,0.87,3.07,,,,,,,,,,67.5,12.5,
7/27/2015 2:15,0,1,,0.91,3.07,,,,,,,,,,67.1,12.5,
7/27/2015 2:30,0,1,,0.94,3.07,,,,,,,,,,66.6,12.5,
7/27/2015 2:45,0,1,,0.97,3.07,,,,,,,,,,66.6,12.5,
7/27/2015 3:00,0,1,,1,3.07,,,,,,,,,,66.2,12.5,
7/27/2015 3:15,0,1,,1.03,3.07,,,,,,,,,,65.7,12.5,
7/27/2015 3:30,0,1,,1.07,3.07,,,,,,,,,,65.7,12.5,
7/27/2015 3:45,0,1,,1.1,3.07,,,,,,,,,,65.3,12.5,
